ID;Fichier
20250191;TestParallelMultiSearcher.java
20250192;DocData.java
20250193;ReadTokensTask.java
20250194;MemUsage.java
20250195;TestData.java
20250196;TimeData.java
20250197;DocMaker.java
20250198;RepAllTask.java
20250199;DirContentSource.java
20250200;PerfTask.java
20250201;ReutersContentSource.java
20250202;TaskSequence.java
20250203;ExtractWikipedia.java
20250204;Config.java
20250205;TaskStats.java
20250206;TestRunData.java
20250207;AbstractQueryMaker.java
20250208;TrecTopicsReader.java
20250209;ReportTask.java
20250210;RepSelectByPrefTask.java
20250211;BenchmarkTestCase.java
20250212;CreateIndexTaskTest.java
20250213;TestNoMergeScheduler.java
20250214;SuggestWord.java
20250215;TermCollectingRewrite.java
20250216;SearchWithCollectorTask.java
20250217;MultiCollectorTest.java
20250218;TestCharacterUtils.java
20250219;TestNumericRangeFilterBuilder.java
20250220;TestDocValues.java
20250221;TestSetOnce.java
20250222;HyphenationCompoundWordTokenFilter.java
20250223;PatternParser.java
20250224;TermsFilterTest.java
20250225;AveragePayloadFunction.java
20250226;ExactPhraseScorer.java
20250227;TestGeoHashUtils.java
20250228;TestIndexCommit.java
20250229;PolishAnalyzer.java
20250230;ConstantScoreQuery.java
20250231;ConstantScoreAutoRewrite.java
20250232;ScoringRewrite.java
20250233;InvertedDocConsumer.java
20250234;TestNoMergePolicy.java
20250235;IndexFileDeleter.java
20250236;InvertedDocEndConsumer.java
20250237;DocFieldConsumer.java
20250238;DocConsumer.java
20250239;TermsHashConsumer.java
20250240;StoredFieldsWriter.java
20250241;Searchable.java
20250242;PortugueseStemFilter.java
20250243;TestGalicianStemFilter.java
20250244;PortugueseMinimalStemmer.java
20250245;RSLPStemmerBase.java
20250246;GalicianStemFilter.java
20250247;StemmerUtil.java
20250248;GalicianStemmer.java
20250249;GenerateJFlexSupplementaryMacros.java
20250250;RAMInputStream.java
20250251;DefaultSimilarity.java
20250252;SweetSpotSimilarityTest.java
20250253;SimilarityDelegator.java
20250254;FieldNormModifier.java
20250255;TestMultiSearcher.java
20250256;BooleanQuery.java
20250257;SweetSpotSimilarity.java
20250258;NormsWriterPerField.java
20250259;TermQuery.java
20250260;ReaderUtil.java
20250261;ParallelMultiSearcher.java
20250262;FieldInvertState.java
20250263;BoostQueryNodeProcessor.java
20250264;FieldBoostMapFCListener.java
20250265;ParametricRangeQueryNodeProcessor.java
20250266;FieldDateResolutionFCListener.java
20250267;StringUtils.java
20250268;TestAnalyzingQueryParser.java
20250269;FieldConfig.java
20250270;SpansQueryConfigHandler.java
20250271;MultiTermRewriteMethodAttribute.java
20250272;QueryTreeBuilder.java
20250273;QueryConfigHandler.java
20250274;LogByteSizeMergePolicy.java
20250275;LogDocMergePolicy.java
20250276;TestSizeBoundedOptimize.java
20250277;Similarity.java
20250278;GalicianAnalyzer.java
20250279;TestQueryTreeBuilder.java
20250280;OpenIndexTask.java
20250281;FieldBoostMapAttributeImpl.java
20250282;CharTermAttributeImpl.java
20250283;AllowLeadingWildcardAttributeImpl.java
20250284;RangeCollatorAttributeImpl.java
20250285;BoostAttributeImpl.java
20250286;TestToken.java
20250287;DateResolutionAttributeImpl.java
20250288;ScriptAttributeImpl.java
20250289;TestSimpleAttributeImpls.java
20250290;MultiFieldAttributeImpl.java
20250291;PositionIncrementsAttributeImpl.java
20250292;FuzzyAttributeImpl.java
20250293;FieldDateResolutionMapAttributeImpl.java
20250294;DefaultOperatorAttributeImpl.java
20250295;AttributeImpl.java
20250296;DefaultPhraseSlopAttributeImpl.java
20250297;AnalyzerAttributeImpl.java
20250298;LowercaseExpandedTermsAttributeImpl.java
20250299;LocaleAttributeImpl.java
20250300;AttributeReflector.java
20250301;MultiTermRewriteMethodAttributeImpl.java
20250302;UniqueFieldAttributeImpl.java
20250303;TestAttributes.java
20250304;DisjunctionSumScorer.java
20250305;TestScoreCachingWrappingScorer.java
20250306;ConjunctionScorer.java
20250307;DisjunctionMaxQuery.java
20250308;ScoreCachingWrappingScorer.java
20250309;BooleanScorer2.java
20250310;ReqExclScorer.java
20250311;ReqOptSumScorer.java
20250312;DisjunctionMaxScorer.java
20250313;BooleanScorer.java
20250314;BufferedIndexInput.java
20250315;WaitForMergesTask.java
20250316;OrdFieldSource.java
20250317;ReverseOrdFieldSource.java
20250318;FieldCacheImpl.java
20250319;InstantiatedIndexReader.java
20250320;NumericUtils.java
20250321;ParallelReader.java
20250322;MultiReader.java
20250323;FilterIndexReader.java
20250324;MapBackedSet.java
20250325;SegmentTermDocs.java
20250326;TestGreekStemmer.java
